Name,Team,Pos,Age,G,GS,Rec_Rec,Rec_Yds,Rec_TD,Rec_Y/R,Fmb,FmbLost,Year,games_played_pct,games_started_pct,ProBowl,AllPro,Touches,Rec_Rec_per_game,Rec_Yds_per_game,Rec_TD_per_game,Fmb_per_game,FmbLost_per_game,Touches_per_game,Points_half-ppr,PPG_half-ppr,player_display_name,season,week,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,receptions,targets,catch_percentage,yards,rec_touchdowns,avg_yac,avg_expected_yac,avg_yac_above_expectation,player_jersey_number,next_year_Rec_Yds,next_year_Points_half-ppr,next_year_PPG_half-ppr
David Njoku,CLE,TE,26.0,14.0,14.0,58.0,628.0,4.0,10.827586206896552,1.0,1.0,2022,0.8235294117647058,1.0,0.0,0.0,60.0,4.142857142857143,44.85714285714285,0.2857142857142857,0.0714285714285714,0.0714285714285714,4.285714285714286,113.0,8.071428571428571,David Njoku,2022.0,8.5,5.035712806026365,3.0150660973443384,6.998908730158731,15.895124894336895,9.333333333333334,12.75,71.92791005291005,100.91666666666669,0.6666666666666666,5.9380113574165305,4.898376544908596,1.039634812507934,85.0,882.0,160.7,10.04375
David Njoku,CLE,TE,27.0,16.0,16.0,81.0,882.0,6.0,10.88888888888889,2.0,2.0,2023,0.9411764705882352,1.0,1.0,0.0,81.0,5.0625,55.125,0.375,0.125,0.125,5.0625,160.7,10.04375,David Njoku,2023.0,10.461538461538462,5.505970994122157,3.366722886152041,5.323230754340511,16.66350351163234,11.461538461538462,17.76923076923077,63.47836445397421,126.76923076923076,0.9230769230769232,8.069443155609822,5.754691835477467,2.314751320132355,85.0,505.0,112.5,10.227272727272728
Evan Engram,DEN,TE,23.0,15.0,11.0,64.0,722.0,6.0,11.28125,0.0,0.0,2017,0.9375,0.7333333333333333,0.0,0.0,65.0,4.266666666666667,48.13333333333333,0.4,0.0,0.0,4.333333333333333,141.60000000000002,9.44,Evan Engram,2017.0,7.642857142857143,5.878334058902668,2.7494019710685462,7.95776454868458,26.522880845688057,9.071428571428571,16.0,58.040673095020914,102.28571428571428,0.8571428571428571,4.6843776573129245,4.42499796019289,0.2593796971200355,88.0,577.0,101.8,9.254545454545456
Evan Engram,DEN,TE,24.0,11.0,8.0,45.0,577.0,3.0,12.822222222222225,0.0,0.0,2018,0.6875,0.7272727272727273,0.0,0.0,48.0,4.090909090909091,52.45454545454545,0.2727272727272727,0.0,0.0,4.363636363636363,101.8,9.254545454545456,Evan Engram,2018.0,9.22222222222222,5.822048212005109,4.369709940114321,5.320803516313934,12.719590661857636,9.444444444444445,13.444444444444445,70.55941358024691,117.0,0.6666666666666666,9.055958994708996,6.232508044473481,2.8234509502355127,88.0,467.0,87.4,10.925
Evan Engram,DEN,TE,25.0,8.0,6.0,44.0,467.0,3.0,10.613636363636363,0.0,0.0,2019,0.5,0.75,0.0,0.0,47.0,5.5,58.375,0.375,0.0,0.0,5.875,87.4,10.925,Evan Engram,2019.0,4.333333333333333,5.653322877901825,3.0381020796314915,6.096281151854681,16.40255595884918,9.77777777777778,15.11111111111111,61.90094219505985,103.77777777777776,0.6666666666666666,5.70016835016835,4.039103282702907,1.661065067465442,88.0,654.0,109.5,6.84375
Evan Engram,DEN,TE,26.0,16.0,14.0,63.0,654.0,1.0,10.38095238095238,1.0,1.0,2020,1.0,0.875,1.0,0.0,69.0,3.9375,40.875,0.0625,0.0625,0.0625,4.3125,109.5,6.84375,Evan Engram,2020.0,7.5,6.278396761649774,2.981895281391472,7.074087462380466,23.709373191784795,9.75,16.833333333333332,57.65381534876948,101.0,0.1666666666666666,4.428618386243387,3.5135221370928806,0.9150962491505058,88.0,408.0,79.5,5.3
Evan Engram,DEN,TE,27.0,15.0,12.0,46.0,408.0,3.0,8.869565217391305,1.0,1.0,2021,0.8823529411764706,0.8,0.0,0.0,47.0,3.066666666666667,27.2,0.2,0.0666666666666666,0.0666666666666666,3.1333333333333333,79.5,5.3,Evan Engram,2021.0,9.545454545454543,6.974583333333333,3.3232931664834737,4.728135844748859,9.452695135171554,7.272727272727272,11.727272727272728,60.42548775425488,62.54545454545455,0.3636363636363636,4.162836627140974,3.98437829383908,0.1784583333018938,88.0,766.0,138.4,8.141176470588235
Evan Engram,DEN,TE,28.0,17.0,14.0,73.0,766.0,4.0,10.493150684931509,0.0,0.0,2022,1.0,0.8235294117647058,0.0,0.0,75.0,4.294117647058823,45.05882352941177,0.2352941176470588,0.0,0.0,4.411764705882353,138.4,8.141176470588235,Evan Engram,2022.0,8.6,7.1986008658008656,3.3180267801392027,6.424121768707482,21.817629276468143,13.0,17.5,74.13945578231292,141.0,0.8,7.123098499673842,6.070074121437797,1.0530243782360451,17.0,963.0,173.3,10.194117647058825
Evan Engram,DEN,TE,29.0,17.0,15.0,114.0,963.0,4.0,8.447368421052632,3.0,2.0,2023,1.0,0.8823529411764706,1.0,0.0,114.0,6.705882352941177,56.64705882352941,0.2352941176470588,0.1764705882352941,0.1176470588235294,6.705882352941177,173.3,10.194117647058825,Evan Engram,2023.0,9.0,6.280603655603656,3.357664793343813,4.686472857389524,13.719007749940378,12.666666666666666,15.88888888888889,79.96563621563621,107.0,0.4444444444444444,4.7712082331249,4.340201639878184,0.431006593246716,17.0,365.0,64.0,7.111111111111111
George Kittle,SF,TE,24.0,15.0,7.0,43.0,515.0,2.0,11.976744186046512,0.0,0.0,2017,0.9375,0.4666666666666667,0.0,0.0,43.0,2.8666666666666667,34.333333333333336,0.1333333333333333,0.0,0.0,2.8666666666666667,85.0,5.666666666666667,George Kittle,2017.0,7.571428571428571,5.082831232492998,2.9494556247746493,7.076535147392291,12.176975539531748,10.0,14.571428571428571,69.43310657596372,121.42857142857144,0.4285714285714285,7.046992010757791,5.402909565665989,1.6440824450918012,85.0,1377.0,212.7,13.29375
